"crs_name","crs_id"
"AFRICAAM113V","219951"
"AFRICAAM121N","219363"
"AFRICAAM122F","219849"
"AFRICAAM128","219930"
"AFRICAAM135A","217389"
"AFRICAAM136B","219515"
"AFRICAAM141X","218394"
"AFRICAAM146L","219212"
"AFRICAAM154G","219258"
"AFRICAAM159A","219223"
"AFRICAAM160J","219853"
"AFRICAAM165G","219550"
"AFRICAAM200N","219610"
"AFRICAAM205K","219175"
"AFRICAAM211","201645"
"AFRICAAM216","219379"
"AFRICAAM236","213844"
"AFRICAAM241","218825"
"AFRICAAM241A","217226"
"AFRICAAM250J","219146"
"AFRICAAM251J","219179"
"AFRICAAM252C","219186"
"AFRICAAM256E","218079"
"AFRICAAM258","219695"
"AFRICAAM265G","219532"
"AFRICAAM273C","219184"
"AFRICAAM286","219377"
"AFRICAAM39","221249"
"AFRICAAM50C","209908"
"AFRICAAM55F","220218"
"AFRICAAM58A","220417"
"AFRICAAM76B","221158"
"AFRICAAM80Q","220553"
"AFRICAAM95","219803"
"AFRICAAM114C","221349"
"AFRICAAM117","221014"
"AFRICAAM117J","220636"
"AFRICAAM118X","220637"
"AFRICAAM124F","220987"
"AFRICAAM146D","220948"
"AFRICAAM150C","115192"
"AFRICAAM155J","220682"
"AFRICAAM169A","115504"
"AFRICAAM169B","220524"
"AFRICAAM181","220816"
"AFRICAAM185","220962"
"AFRICAAM202","221056"
"AFRICAAM218","220406"
"AFRICAAM236B","220414"
"AFRICAAM238J","218083"
"AFRICAAM241J","220494"
"AFRICAAM268","221059"
"AFRICAAM288","221058"
"AFRICAAM42","222174"
"AFRICAAM44","222175"
"AFRICAAM49S","221470"
"AFRICAAM92BP","221458"
"AFRICAAM101Q","204779"
"AFRICAAM106I","219607"
"AFRICAAM112B","222011"
"AFRICAAM170A","222254"
"AFRICAAM179A","221638"
"AFRICAAM180S","222120"
"AFRICAAM191B","221388"
"AFRICAAM199X","204398"
"AFRICAAM204","222407"
"AFRICAAM209","222270"
"AFRICAAM253","222170"
"AFRICAAM291","221413"
"AFRICAAM389C","217700"
"AFRICAAM428","222086"
"AFRICAAM491","221413"
"AFRICAAM4","222514"
"AFRICAAM47S","222872"
"AFRICAAM51A","222851"
"AFRICAAM51B","222852"
"AFRICAAM51C","222855"
"AFRICAAM62Q","222905"
"AFRICAAM69","222944"
"AFRICAAM93","222884"
"AFRICAAM112X","223055"
"AFRICAAM129","223155"
"AFRICAAM137","223103"
"AFRICAAM140N","222867"
"AFRICAAM142","223209"
"AFRICAAM143","222309"
"AFRICAAM153P","222941"
"AFRICAAM164A","222839"
"AFRICAAM171","223138"
"AFRICAAM190","221597"
"AFRICAAM196","222710"
"AFRICAAM205","222757"
"AFRICAAM225","222782"
"AFRICAAM230","222756"
"AFRICAAM230A","220567"
"AFRICAAM260P","222721"
"AFRICAAM264","221748"
"AFRICAAM269","222944"
"AFRICAAM279","223218"
"AFRICAAM280","220153"
"AFRICAAM293","222884"
"AFRICAAM360P","222722"
"AFRICAAM53S","223627"
"AFRICAAM54S","223641"
"AFRICAAM168","223443"
"AFRICAAM169C","223445"
"AFRICAAM178S","223642"
"AFRICAAM186","223472"
"AFRICAAM193","223193"
"AFRICAAM207","223558"
"AFRICAAM222","223198"
"AFRICAAM244","223449"
"AFRICAAM257","223615"
"AFRICAAM355","223706"
"AFRICAAM442","223446"
"AFRICAAM488","223447"
"AFRICAST31","217648"
"AFRICAST48S","216842"
"AFRICAST81","217688"
"AFRICAST109","213891"
"AFRICAST111","201645"
"AFRICAST112","140867"
"AFRICAST115","215256"
"AFRICAST116","217673"
"AFRICAST119","217905"
"AFRICAST127","214192"
"AFRICAST131","217648"
"AFRICAST133B","216547"
"AFRICAST135","214117"
"AFRICAST138","215277"
"AFRICAST138B","216376"
"AFRICAST139A","213017"
"AFRICAST141A","214549"
"AFRICAST142","212837"
"AFRICAST145B","214694"
"AFRICAST151","208297"
"AFRICAST181","217688"
"AFRICAST190","214101"
"AFRICAST195","213977"
"AFRICAST199","207209"
"AFRICAST200","203920"
"AFRICAST209","213891"
"AFRICAST211","201645"
"AFRICAST212","140867"
"AFRICAST216","217673"
"AFRICAST219","217905"
"AFRICAST224","212972"
